,0
71,"Telmisartan is an angiotensin II receptor blocker and selective modulator of peroxisome proliferator-activated receptor-gamma reported to increase energy expenditure and improve glucose and lipid metabolism compared with other angiotensin II receptor blockers. As muscle fatty acid oxidation is a major determinant of energy expenditure, we investigated the effects of telmisartan on skeletal muscle fatty acid oxidation in a rat model of the metabolic syndrome. We measured fatty acid oxidation in soleus muscles obtained from polydactylous (PD)/Cub rats fed a high sucrose, high fat diet and treated with either telmisartan or losartan. In addition, we measured fatty acid oxidation in soleus muscle tissue isolated from Sprague-Dawley rats, incubated for 3 h with either telmisartan or valsartan. Compared with treatment with losartan, treatment with telmisartan was associated with significantly greater palmitate oxidation in skeletal muscle (44.4 +/- 2.9 versus 28.9 +/- 3.2 nmol palmitate/g/2 h, P = 0.004) as well as significantly greater glucose tolerance and significantly lower body weight and visceral adiposity. In addition, in-vitro incubation of skeletal muscle with telmisartan induced significantly greater increase in palmitate oxidation than in-vitro incubation with valsartan (9.4 +/- 1.6 versus 0.2 +/- 4.3 nmol palmitate/g/h, P < 0.05). The increased fatty acid oxidation induced by telmisartan in vitro was blocked by addition of the peroxisome proliferator-activated receptor-gamma antagonist GW9662 (-0.4 +/- 1.8 nmol palmitate/g/h, P < 0.05).
The current results are consistent with the possibility that telmisartan may increase energy expenditure and protect against dietary induced obesity and features of the metabolic syndrome at least in part by increasing muscle fatty acid oxidation through activation of peroxisome proliferator-activated receptor-gamma."
72,"Rheumatoid arthritis (RA) can be divided into two major subsets based on the presence or absence of antibodies to citrullinated peptide antigens (ACPA). Until now, data from genome-wide association studies (GWAS) have only been published from ACPA-positive subsets of RA or from studies that have not separated the two subsets. The aim of the current study is to provide and compare GWAS data for both subsets. GWAS using the Illumina 300K chip was performed for 774 ACPA-negative patients with RA, 1147 ACPA-positive patients with RA and 1079 controls from the Swedish population-based case-control study EIRA. Imputation was performed which allowed comparisons using 1,723,056 single nucleotide polymorphisms (SNPs). No SNP achieved genome-wide significance (2.9 × 10⁻⁸) in the comparison between ACPA-negative RA and controls. A case-case association study was then performed between ACPA-negative and ACPA-positive RA groups. The major difference in this analysis was in the HLA region where 768 HLA SNPs passed the threshold for genome-wide significance whereas additional contrasting SNPs did not reach genome-wide significance. However, one SNP close to the RPS12P4 locus in chromosome 2 reached a p value of 2 × 10⁶ and this locus can thus be considered as a tentative candidate locus for ACPA-negative RA.
ACPA-positive and ACPA-negative RA display significant risk allele frequency differences which are mainly confined to the HLA region. The data provide further support for distinct genetic aetiologies of RA subsets and emphasise the need to consider them separately in genetic as well as functional studies of this disease."
73,"Mismatch repair genes are responsible for the coordinated correction of misincorporated nucleotides formed during DNA replication. Inactivating and inherited mutations in the prototypic mismatch repair gene hMSH2 have been described in a cancer predisposition syndrome known as hereditary nonpolyposis colon cancer. Patients with hereditary nonpolyposis colon cancer are at increased risk for colon cancer and extracolonic cancers such as upper tract transitional cell carcinoma but not prostate cancer. We investigated expression of hMSH2 in prostate cancer cell lines using genetic and molecular analysis. We used the 3 well described prostate cancer cell lines, DU145, LNCaP and PC3. Western blot analysis with monoclonal antibody to hMSH2 was used to assess expression. Southern blot and polymerase chain reaction of genomic DNA were used to identify genetic alterations in the hMSH2 gene. Single cell cloning, dinucleotide repeats and BAT-26 were used to assess the cell lines for microsatellite instability. The prostate cancer cell line LNCaP did not express hMSH2 and was found to have a homozygous deletion of hMSH2 exons 9 to 16, resulting in truncation of the protein. While microsatellite analysis did not reveal alterations at the BAT-26 locus, single cell cloning produced several LNCaP subclones with alteration at 1 dinucleotide repeat.
The well described prostate cancer cell line LNCaP has a mutation in the hMSH2 gene, resulting in loss of expression and possible evidence of microsatellite instability. To our knowledge our finding is the first demonstration of a genetic alteration in hMSH2 in a prostate cancer cell line."
74,"Cardiac myocytes depend on a delicate balance of glucose and free fatty acids as energy sources, a balance that is disrupted in pathological states such as diabetic cardiomyopathy and myocardial ischaemia. There are two families of cellular glucose transporters: the facilitated-diffusion glucose transporters (GLUT); and the sodium-dependent glucose transporters (SGLT). It has long been thought that only the GLUT isoforms, GLUT1 and GLUT4, are responsible for cardiac myocyte glucose uptake. However, we discovered that one SGLT isoform, SGLT1, is also an important glucose transporter in heart. In this study, we aimed to determine the human and murine cardiac expression pattern of SGLT1 in health and disease and to determine its regulation. SGLT1 was largely localized to the cardiac myocyte sarcolemma. Changes in SGLT1 expression were observed in disease states in both humans and mouse models. SGLT1 expression was upregulated two- to three-fold in type 2 diabetes mellitus and myocardial ischaemia (P < 0.05). In humans with severe heart failure, functional improvement following implantation of left ventricular assist devices led to a two-fold increase in SGLT1 mRNA (P < 0.05). Acute administration of leptin to wildtype mice increased cardiac SGLT1 expression approximately seven-fold (P < 0.05). Insulin- and leptin-stimulated cardiac glucose uptake was significantly (P < 0.05) inhibited by phlorizin, a specific SGLT1 inhibitor.
Our data suggest that cardiac SGLT1 expression and/or function are regulated by insulin and leptin, and are perturbed in disease. This is the first study to examine the regulation of cardiac SGLT1 expression by insulin and leptin and to determine changes in SGLT1 expression in cardiac disease."
75,"Covariation bias refers to the phenomenon of overestimating the contingency between certain stimuli and negative outcomes, which is considered as a heuristic playing a role in the maintenance of certain types of psychopathology. In the present study, covariation bias was investigated within the context of eating pathology. In a sample of 148 adolescents (101 girls, 47 boys; mean age 15.3 years), a priori and a posteriori contingencies were measured between words referring to control and loss of control over eating behavior, on the one hand, and fear, disgust, positive and neutral outcomes, on the other hand. Results indicated that all adolescents displayed an a priori covariation bias reflecting an overestimation of the contingency of words referring to loss of control over eating behavior and fear- and disgust-relevant outcomes, while words referring to control over eating behavior were more often associated with positive and neutral outcomes. This bias was unrelated to level of eating disorder symptoms. In the case of a posteriori contingency estimates no overall bias could be observed, but some evidence was found indicating that girls with higher levels of eating disorder symptoms displayed a stronger covariation bias.
These findings provide further support for the notion that covariation bias is involved in eating pathology, and also demonstrate that this type of cognitive distortion is already present in adolescents."
76,"The availability of pigs homozygous for alpha1,3-galactosyltransferase gene-knockout (GT-KO) has enabled study of the incidence and cytotoxicity of primate antibodies directed to antigens other than Galalpha1,3Gal (Gal), termed non-Gal antigens. Sera from 27 healthy humans and 31 patients awaiting renal allotransplantation, who were either unsensitized [panel reactive antibodies (PRA) < 10%] or allosensitized (PRA > 70%), were tested by flow cytometry for binding of immunoglobulin M (IgM) and IgG to peripheral blood mononuclear cells (PBMC) from both wild-type (WT) and GT-KO pigs. Complement-dependent cytotoxicity to WT and GT-KO PBMC was also measured. IgM and IgG from all 27 (100%) healthy human sera bound to WT PBMC, while 78% and 63% of these sera had IgM and IgG that bound to GT-KO PBMC, respectively. Mean binding to WT PBMC was significantly greater than GT-KO PBMC. Whereas 100% of sera were cytotoxic to WT PBMC, only 61% were cytotoxic to GT-KO PBMC, and the extent of lysis was significantly less. Neither mean binding of IgM and IgG nor cytotoxicity of unsensitized and allosensitized sera to WT and GT-KO PBMC was significantly different to that of healthy sera.
More than half of the healthy humans tested had cytotoxic antibodies to GT-KO PBMC, but allosensitized patients will be at no greater risk of rejecting a pig xenograft by a humoral mechanism."
77,"Small-bowel obstruction (SBO) is a common cause of admission to the surgical service. On rare occasions, a diagnosed SBO is actually due to large-bowel pathology combined with an incompetent ileocecal valve. The purpose of this study was to investigate this phenomenon. We performed a retrospective medical record review of patients that were admitted with a diagnosis of SBO at University of Louisville hospital and the Veterans Affairs hospitals in Louisville, KY, from 2006 until 2014. A total of 498 patients were admitted with SBO during this time period. Forty-one patients were found to have an underlying large-bowel disease. The most common large-bowel pathologies included malignancy (51%), inflammation (15%), and infection (15%). Fifteen (43%) of these patients died during admission; 93% of these were due to either their bowel obstruction or the underlying disease state. This was significantly higher than the general population (9.4% mortality, 6% due to underlying disease).
Patients that present with SBO due to a large-bowel source have a much higher mortality rate than those that present with other causes. Rapid identification of these patients will allow for more timely and appropriate treatment."
78,"Smoking, dietary factors, and alcohol consumption are known life style factors contributing to gastrointestinal carcinogenesis. Genetic variations in carcinogen handling may affect cancer risk. The multidrug resistance 1(MDR1/ABCB1) gene encodes the transport protein P-glycoprotein (a phase III xenobiotic transporter). P-glycoprotein is present in the intestinal mucosal lining and restricts absorption of certain carcinogens, among these polycyclic aromatic hydrocarbons. Moreover, P-glycoprotein transports various endogenous substrates such as cytokines and chemokines involved in inflammation, and may thereby affect the risk of malignity. Hence, genetic variations that modify the function of P-glycoprotein may be associated with the risk of colorectal cancer (CRC). We have previously found an association between the MDR1 intron 3 G-rs3789243-A polymorphism and the risk of CRC in a Danish study population. The aim of this study was to investigate if this MDR1 polymorphism was associated with risk of colorectal adenoma (CA) and CRC in the Norwegian population. Using a case-control design, the association between the MDR1 intron 3 G-rs3789243-A polymorphism and the risk of colorectal carcinomas and adenomas in the Norwegian population was assessed in 167 carcinomas, 990 adenomas, and 400 controls. Genotypes were determined by allelic discrimination. Odds ratio (OR) and 95 confidence interval (95% CI) were estimated by binary logistic regression. No association was found between the MDR1 polymorphism (G-rs3789243-A) and colorectal adenomas or cancer. Carriers of the variant allele of MDR1 intron 3 had odds ratios (95% CI) of 0.97 (0.72-1.29) for developing adenomas, and 0.70 (0.41-1.21) for colorectal cancer, respectively, compared to homozygous wild type carriers.
The MDR1 intron 3 (G-rs3789243-A) polymorphism was not associated with a risk of colorectal adenomas or carcinomas in the present Norwegian study group. Thus, this MDR1 polymorphism does not seem to play an important role in colorectal carcinogenesis in this population."
79,"Arteriovenous fistula thrombosis (AVFT) is still a common cause of morbidity in patients undergoing regular hemodialysis (HD). Many factors have been found to induce AVFT. Some of those factors are local and others are systemic ones. In this study, we evaluated some local and systemic factors simultaneously, to predict the most potent risk factor for AVFT in HD patients. One hundred and eighteen patients aged 20-80 yrs with end-stage renal disease (ESRD) were evaluated prospectively for a period of 14 months. First, anticardiolipin antibodies (ACLA), TG, cholesterol, low density lipoprotein (LDL) and high density lipoprotein (HDL) were analyzed by conventional methods. Other basic data were accessed from patients medical records. All fistulas were evaluated clinically as patent at the start of this study. Patients were followed-up for any evidence of AVFT within 14 months. Finally, all factors (diabetes, hypertension, presence of ACLA, ultrafiltration >or=3 L, age, gender, weight, hypotension during dialysis, fistula site, epoetin alpha usage, TG, HDL, LDL and total cholesterol) were analyzed in a stepwise regression analysis. Eighteen episodes of AVFT documented with Doppler sonography occurred in 17 patients (15.3%). Regression analysis showed only LDL values were the AVFT predictor in our patients (p=0.002, beta-coefficient=0.3). Kaplan-Meier analysis showed a significantly lower AVF patency time in patients with LDL >130 mg/dl than those with LDL <130 mg/dl (log rank=0.0014).
LDL value is a major prognostic factor for AVFT in HD patients and lowering it to <130 mg/dl could improve fistula patency."
80,"The impact of ribavirin exposure on sustained virological response (SVR) in patients with chronic hepatitis C is unknown. Preliminary studies showed marked inter-individual variability of ribavirin concentrations despite dose adjustment for body weight (BW) and suggested there was a correlation between single time point concentrations and SVR. None of them evaluated the global exposure to ribavirin. This study was conducted to determine whether early ribavirin global exposure is related with SVR. An exploratory pharmacokinetic-pharmacodynamic (PK-PD) study was conducted in genotype 1 hepatitis C patients treated with peginterferon alfa-2a and ribavirin (dose-adjusted for BW) for 12 weeks, to which amantadine was added for the following 36 weeks. Full and abbreviated ribavirin area under the concentration time curves (AUC(0-12h), AUC(0-4h)) were derived from plasma concentration profiles at day 0 (D0), week 12 (W12), W12 + 1 day, and W24. Virological follow-up was performed at D0 (0, 12, and 24 hours), W2, W4, W6, and monthly until W72 (TaqMan polymerase chain reaction, cut-off 15 international units/mL). Twenty-eight patients were enrolled in the study and 24 completed it. Patients with a SVR had a significantly higher D0 AUC(0-12h) (3695 [1571-6916] versus 2937 [1266-4913] microg/hour/L, P = 0.03) and D0 AUC(0-4h) (2010 [615-3175] versus 1340 [622-2246] microg/hour/L, P = 0.03). Patients with D0 AUCs above the cut-off values defined by receiver operating characteristic curves (3014 microg/hour/L and 1755 microg/hour/L for AUC(0-12h) and AUC(0-4h), respectively) had a significantly better chance of achieving an SVR than patients with AUCs under the thresholds (odds ratio = 16.0, 95% confidence interval 1.54-166.6, P = 0.02 and odds ratio = 8.9, 95% confidence interval, 1.4-56.6; P = 0.02).
Ribavirin exposure at D0 is significantly related to SVR. To our knowledge, this is the first study to give an early pharmacokinetic predictor of SVR. We propose a minimum AUC(0-4h) threshold of 1755 microg/hour/L at D0 as a target for ribavirin dose adjustment."
81,"To identify visually significant spectral-domain optical coherence tomography (SD-OCT) features of epiretinal membranes (ERM) in patients with uveitis. Retrospective cohort and cross-sectional study. Eighty consecutive eyes with uveitis and SD-OCT-documented ERM were included. Clinical data were collected at the time of diagnosis of ERM and at the final visit. SD-OCT images at the last visit were evaluated to identify fovea and ERM configuration and structural changes. Changes of 10% and 20% in central subfield thickness between initial and last SD-OCT were calculated and correlated with visual acuity (VA). An ERM thickness map was created using validated SD-OCT grading software. VA improved significantly in eyes with more than 12 months of follow-up (P = .03). Although inflammation activity and medical treatment methods were no different in eyes with more or less than 12 months of follow-up, 16 eyes in the subset with longer follow-up underwent cataract extraction and intraocular lens implantation. Kaplan-Meier analysis demonstrated few vision losses during the follow-up period. Change in central subfield thickness did not correlate with VA. Foveal center involvement (P < .001), focal attachment of the ERM (P = .003), and foveal inner segment and outer segment junction disruption (P = .006) were associated independently with lower VA. ERM was thinner in eyes with 20/40 or better VA (4.6 ± 0.6 μm) compared with eyes with VA of less than 20/200 (P = .02). Longer duration of ERM was associated with thicker ERM (P < .05).
In most eyes with uveitis and ERM, VA remains stable if ocular inflammation and comorbidities are addressed appropriately."
82,"The significance of breast cancer sentinel lymph node (SLN) metastases detected only by immunohistochemistry staining (IHC) remains poorly understood. This study attempted to quantify the risk of non-SLN metastases. A prospectively collected database of 750 consecutive SLN biopsy procedures in breast cancer patients was reviewed. Medical records were reviewed to supplement the database. SLNs were identified in 738 (98.4%) of these procedures in 723 patients. Of these, 151 patients (20.5%) had metastases detected by hematoxylin and eosin staining (H&E), and 33 (4.6%) of the 718 with known IHC staining results had metastases detected by IHC only. Twenty-eight (84.8%) of 33 patients with IHC-detected metastases underwent complete axillary lymph node dissection (CALND). The median primary tumor size was 2.0 cm among those undergoing CALND and 0.9 cm among the five patients treated without CALND (P = .10). Two of the 28 patients (7.1%) had additional metastases detected with CALND. These patients had a T3 or T4 invasive lobular primary tumor. Of 24 patients with T1 or T2 primary tumors and IHC-detected metastases who underwent CALND, none had additional metastases detected. Median follow-up was 14.5 months. All patients with IHC-detected SLN metastases were treated with adjuvant systemic therapy. None of the five patients with IHC-detected metastases not undergoing CALND has subsequently manifested clinical axillary disease.
CALND could have been or was safely omitted in 29 of 29 patients with T1 or T2 primary tumors and metastases detected by IHC. Such patients should be counseled about this low risk before CALND is recommended."
83,"Pigment epithelial-derived factor (PEDF) is a potent angiogenesis inhibitor with multiple other functions, some of which enhance tumor growth. Our previous studies mapped PEDF antiangiogenic and prosurvival activities to distinct epitopes. This study was aimed to determine the minimal fragment of PEDF, which maintains antiangiogenic and antitumor efficacy. We analyzed antigenicity, hydrophilicity, and charge distribution of the angioinhibitory epitope (the 34-mer) and designed three peptides covering its COOH terminus, P14, P18, and P23. We analyzed their ability to block endothelial cell chemotaxis and induce apoptosis in vitro and their antiangiogenic activity in vivo. The selected peptide was tested for the antitumor activity against mildly aggressive xenografted prostate carcinoma and highly aggressive renal cell carcinoma. To verify that P18 acts in the same manner as PEDF, we used immunohistochemistry to measure PEDF targets, vascular endothelial growth factor receptor 2, and CD95 ligand expression in P18-treated vasculature. P14 and P18 blocked endothelial cell chemotaxis; P18 and P23 induced apoptosis. P18 showed the highest IC50 and blocked angiogenesis in vivo: P23 was inactive and P14 was proangiogenic. P18 increased the production of CD95 ligand and reduced the expression of vascular endothelial growth factor receptor 2 by the endothelial cells in vivo. In tumor studies, P18 was more effective in blocking the angiogenesis and growth of the prostate cancer than parental 34-mer; in the renal cell carcinoma, P18 strongly decreased angiogenesis and halted the progression of established tumors.
P18 is a novel and potent antiangiogenic biotherapeutic agent that has potential to be developed for the treatment of prostate and renal cancer."
84,"To investigate the effect of liver X receptor agonist T0901317 on transforming growth factor-β1 (TGF-β1)-induced expression of α-smooth muscle actin (α-SMA) in normal human lung fibroblasts. Primary normal human lung fibroblast isolated from the lung specimens of lung cancer patients by explant culture technique were identified with immunostaining for vimentin and keratin. The cells in passages 4 to 10 were treated with T0901317 and/or TGF-β1, and RT-PCR, Western blotting and immunofluorescence assay were used to detect α-SMA expression in the fibroblasts. Lung fibroblast expressed vimentin but not keratin. The results of RT-PCR, Western blotting and immunofluorescence assay all showed that normal human lung fibroblasts constitutively expressed α-SMA under baseline condition, and TGF-β1 at 5 ng/ml induced a significant upregulation of α-SMA both at the mRNA and protein levels. Liver X receptor agonist T0901317 (5 µg/ml) significantly inhibited TGF-β1-induced upregulation of α-SMA expression.
Liver X receptor agonist T0901317 can inhibit the upregulation of α-SMA in normal human lung fibroblasts induced by TGF-β1, suggesting the potential value of liver X receptor agonist in the treatment of lung fibrosis."
85,"It has been proposed that alcohol might induce within the retina a state akin to dark adaptation. However, the evidence to support this proposal is quite indirect. Another possibility is that alcohol might affect retinal gain control rather than sensitivity. To investigate these proposals psychophysically, we measured dark adaptation functions and increment thresholds with the increment threshold procedure in individuals with moderate blood alcohol concentrations (BACs). Individuals were tested under both alcohol and no-alcohol conditions (BAC approximately .08%). In Experiment 1, thresholds for the detection of a parafoveal target were measured over a 25-minute period following a 3-minute bleach in six males. In Experiment 2, the cone dark adaptation function of four males was examined in more detail for a foveal target following bleaching at three different levels. In Experiment 3, we measured the thresholds of nine men for a small target superimposed on a background field that varied over 4 log units in luminance. We found no effects of alcohol on either the rod or the cone portion of the dark adaptation curve or on increment thresholds.
Together, these data indicate that moderate alcohol ingestion does not affect the recovery of visual sensitivity in the dark nor does it affect gain control at the retinal level."
86,"Osteopontin, an important immune modulator and oncogenic promoter, is upregulated in H. pylori-infected gastric mucosa. However, the underlying mechanisms and biological significance are poorly understood. We investigated whether osteopontin was upregulated in gastric epithelial cells by H. pylori and the virulence factors involved. Moreover, cellular component changes caused by osteopontin were also investigated. The gastric epithelial cell line MKN45 was cocultured with wild-type and mutant H. pylori to analyze osteopontin expression. Beta-catenin levels in cell lysate and interleukin-8 levels in supernatant were analyzed. The difference in osteopontin expression levels in both gastric epithelium and plasma was compared between H. pylori-infected patients and uninfected controls. H. pylori induced intracellular, but not secretory, osteopontin expression in MKN45 cells. Accordingly, osteopontin expression intensity in gastric epithelium was higher in H. pylori-infected patients than in controls, but osteopontin levels in plasma were similar between both patient groups. H. pylori virulence factor CagA delivered via the type IV secretion system was essential for intracellular osteopontin upregulation. H. pylori induced β-catenin accumulation and interleukin-8 secretion, whereas osteopontin knockdown completely abrogated these effects, in MKN45 cells. TLR2 antagonist abolished iOPN expression induced by H. pylori gastritis strain, but not by H. pylori cancer strain.
H. pylori is dependent on CagA translocation via the type IV secretion system to induce intracellular osteopontin expression in gastric epithelial cells. Upregulated intracellular osteopontin may promote gastric carcinogenesis via increased β-catenin accumulation and interleukin-8 secretion."
87,"Tissue factor pathway inhibitor (TFPI) is a potent inhibitor of tissue factor procoagulant activity produced as two alternatively spliced isoforms, TFPIalpha and TFPIbeta, which differ in domain structure and mechanism for cell surface association. 3' Rapid amplification of cDNA ends was used to search for new TFPI isoforms. TFPIgamma, a new alternatively spliced form of TFPI, was identified and characterized. The tissue expression, cell surface association and anticoagulant activity of TFPIgamma were characterized and compared to those of TFPIalpha and TFPIbeta through studies of mouse and human tissues and expression of recombinant proteins in Chinese hamster ovary (CHO) cells. TFPIgamma is produced by alternative splicing using the same 5'-splice donor site as TFPIbeta and a 3'-splice acceptor site 276 nucleotides beyond the stop codon of TFPIbeta in exon 8. The resulting protein has the first two Kunitz domains connected to an 18 amino acid C-terminal region specific to TFPIgamma. TFPIgamma mRNA is differentially produced in mouse tissues but is not encoded within the human TFPI gene. When expressed in CHO cells, TFPIgamma is secreted into conditioned media and effectively inhibits tissue factor procoagulant activity.
TFPIgamma is a third alternatively spliced form of TFPI that is widely expressed in mouse tissues but not made by human tissues. It contains the first two Kunitz domains and is a secreted, rather than a cell surface-associated, protein. It is a functional anticoagulant and may partially explain the resistance of mice to coagulopathy in tissue factor-mediated models of disease."
88,"Although dextran has been theorized to diminish the risk of stroke associated with carotid endarterectomy (CEA), variation exists in its use. We evaluated outcomes of dextran use in patients undergoing CEA to clarify its utility. We studied all primary CEAs performed by 89 surgeons within the Vascular Study Group of New England database (2003-2010). Patients were stratified by intraoperative dextran use. Outcomes included perioperative death, stroke, myocardial infarction (MI), and congestive heart failure (CHF). Group and propensity score matching was performed for risk-adjusted comparisons, and multivariable logistic and gamma regressions were used to examine associations between dextran use and outcomes. There were 6641 CEAs performed, with dextran used in 334 procedures (5%). Dextran-treated and untreated patients were similar in age (70 years) and symptomatic status (25%). Clinical differences between the cohorts were eliminated by statistical adjustment. In crude, group-matched, and propensity-matched analyses, the stroke/death rate was similar for the two cohorts (1.2%). Dextran-treated patients were more likely to suffer postoperative MI (crude: 2.4% vs 1.0%; P = .03; group-matched: 2.4% vs 0.6%; P = .01; propensity-matched: 2.4% vs 0.5%; P = .003) and CHF (2.1% vs 0.6%; P = .01; 2.1% vs 0.5%; P = .01; 2.1% vs 0.2%; P < .001). In multivariable analysis of the crude sample, dextran was associated with a higher risk of postoperative MI (odds ratio, 3.52; 95% confidence interval, 1.62-7.64) and CHF (odds ratio, 5.71; 95% confidence interval, 2.35-13.89).
Dextran use was not associated with lower perioperative stroke but was associated with higher rates of MI and CHF. Taken together, our findings suggest limited clinical utility for routine use of intraoperative dextran during CEA."
89,"We identified the far upstream element binding protein 1 (FBP1), an activator of transcription of the proto-oncogene c-myc, in a functional yeast survival screen for tumor-related antiapoptotic proteins and demonstrated strong overexpression of FBP1 in human hepatocellular carcinoma (HCC). Knockdown of the protein in HCC cells resulted in increased sensitivity to apoptotic stimuli, reduced cell proliferation, and impaired tumor formation in a mouse xenograft transplantation model. Interestingly, analysis of gene regulation in these cells revealed that c-myc levels were not influenced by FBP1 in HCC cells. Instead, we identified the cell cycle inhibitor p21 as a direct target gene repressed by FBP1, and in addition, expression levels of the proapoptotic genes tumor necrosis factor alpha, tumor necrosis factor-related apoptosis-inducing ligand, Noxa, and Bik were elevated in the absence of FBP1.
Our data establish FBP1 as an important oncoprotein overexpressed in HCC that induces tumor propagation through direct or indirect repression of cell cycle inhibitors and proapoptotic target genes."
90,"Very-low-density lipoprotein (VLDL) in vitro can induce foam cell formation in human mesangial cells. Lipoprotein lipase (LPL) expressed in the arterial wall plays a key role in atherogenesis by actions of enzymolysis and 'molecular bridge', and, thereby, leads to the formation of lipid-loaded foam cells. It is known that LPL is expressed by glomerular mesangial cells. This study was designed to investigate if LPL plays a role in VLDL-induced lipid accumulation in human mesangial cells and its underlying mechanism. Human wild-type LPL (hLPLwt), catalytically inactive LPL (hLPL194) or control alkaline phosphatase (hAP) were expressed in human mesangial cell line (HMCLs) via adenoviral vectors. Orlistat (tetrahydrolipstatin), a specific inhibitor of the lipoidolytic activity of endogenous LPL, and heparinase, which degrades cell-surface heparan sulfate proteoglycans, were also used to estimate the role of either the enzymolysis or 'molecular bridge' actions of LPL in the uptake of VLDL. Anti-low-density lipoprotein receptor (LDLr) antibody and anti-LDL receptor-related protein antibody were used to evaluate the effect of lipoprotein receptors on VLDL-induced lipid accumulation in HMCLs. Cellular lipid deposition was visualized by Oil Red O staining and analyzed quantitatively by standard enzymatic procedures. LPL protein expression and activity were measured by Western blot and a chemical analysis, respectively. VLDL induced triglyceride accumulation in HMCLs in a time- and dose-dependent manner. Compared with Ad-hAP transfected HMCLs, cellular triglyceride content increased 4.55-fold (p < 0.05) in Ad-hLPLwt-transfected HMCLs and 1.52-fold (p < 0.05) in Ad-hLPL194-transfected HMCLs. Triglyceride accumulation in response to VLDL was mostly blocked by orlistat. Pretreatment of the cells with heparinase slightly reduced cellular triglyceride accumulation in the present of high concentrations of VLDL. The blockade of some lipoprotein receptors, such as LDLr, did not significantly reduce cellular triglyceride accumulation. LPL expression was upregulated by VLDL.
VLDL-induced triglyceride accumulation in human mesangial cells is mainly mediated by LPL, and the enzymolysis action of LPL could be a major factor in this process. These results suggest that LPL may be an important factor participating in the initiation and progression of VLDL-mediated lipid renal injury."
91,"Despite recent advances in chemotherapeutic agents for Hepatocellular carcinoma (HCC) treatment, the results of chemotherapy remain unsatisfactory. Doxorubicin (DOX) still represents the cornerstone in HCC chemotherapy, but resistance and toxicity to normal cells are major obstacles to successful chemotherapy. Therefore, new active agents in HCC chemotherapy and agents that increase the chemosensitivity of HCC cells to DOX are still urgently required. Nutlin-3 is a small-molecule inhibitor that acts to inhibit murine double minute-2 (MDM2) binding to p53 or p73, and subsequently activates p53- or p73-dependent apoptosis signaling pathway. This study was designed to investigate whether Nutlin-3 alters cell toxicity to HCC cells following DNA damage and to assess the suitability of DOX/Nutlin-3 as a chemotherapeutic combination in HCC chemotherapy. Four human HCC cells were analyzed using cell proliferation assay, apoptosis assay, western blotting, co-immunoprecipitation and siRNA experiments. Anti-tumoral effects of Nutlin-3/DOX targeting the p53/MDM2 and p73/MDM2 pathways were evaluated in HCC cell lines. Nutlin-3 enhances the growth inhibition by DOX and potentates the apoptotic effect in all HCC cell lines with different p53 types. Nutlin-3 acts through the disruption of p53-MDM2 binding in HepG2, and the disruption of p73-MDM2 in Huh-7 and Hep3B cell lines with subsequent activation of the apoptotic pathway, which leads to the increase in chemosensitivity to DOX in HCC cells.
Taken together, our findings suggest that Nutlin-3 will be active in the treatment of HCC and offers new prospects for overcoming DOX resistance."
92,"DNA replication and transcription are dynamic processes regulating plant development that are dependent on the chromatin accessibility. Proteins belonging to the Agenet/Tudor domain family are known as histone modification ""readers"" and classified as chromatin remodeling proteins. Histone modifications and chromatin remodeling have profound effects on gene expression as well as on DNA replication, but how these processes are integrated has not been completely elucidated. It is clear that members of the Agenet/Tudor family are important regulators of development playing roles not well known in plants. Bioinformatics and phylogenetic analyses of the Agenet/Tudor Family domain in the plant kingdom were carried out with sequences from available complete genomes databases. 3D structure predictions of Agenet/Tudor domains were calculated by I-TASSER server. Protein interactions were tested in two-hybrid, GST pulldown, semi-in vivo pulldown and Tandem Affinity Purification assays. Gene function was studied in a T-DNA insertion GABI-line. In the present work we analyzed the family of Agenet/Tudor domain proteins in the plant kingdom and we mapped the organization of this family throughout plant evolution. Furthermore, we characterized a member from Arabidopsis thaliana named AIP1 that harbors Agenet/Tudor and DUF724 domains. AIP1 interacts with ABAP1, a plant regulator of DNA replication licensing and gene transcription, with a plant histone modification ""reader"" (LHP1) and with non modified histones. AIP1 is expressed in reproductive tissues and its down-regulation delays flower development timing. Also, expression of ABAP1 and LHP1 target genes were repressed in flower buds of plants with reduced levels of AIP1.
AIP1 is a novel Agenet/Tudor domain protein in plants that could act as a link between DNA replication, transcription and chromatin remodeling during flower development."
